CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
,0,1428,1754901.91,5,5,5,15,💎 Champions
12346,325,1,77183.6,1,1,5,7,🌱 Regular Buyers
12347,1,7,4310.0,5,5,5,15,💎 Champions
12348,74,4,1797.24,2,4,4,10,💼 Loyal Customers
12349,18,1,1757.55,4,1,4,9,💼 Loyal Customers
12350,309,1,334.4,1,1,2,4,⚠️ At Risk / Lost
12352,35,8,2506.04,3,5,5,13,💎 Champions
12353,203,1,89.0,1,1,1,3,⚠️ At Risk / Lost
12354,231,1,1079.4,1,1,4,6,🌱 Regular Buyers
12355,213,1,459.4,1,1,2,4,⚠️ At Risk / Lost
12356,22,3,2811.43,4,3,5,12,💎 Champions
12357,32,1,6207.67,4,1,5,10,💼 Loyal Customers
12358,1,2,1168.06,5,2,4,11,💼 Loyal Customers
12359,57,4,6310.03,3,4,5,12,💎 Champions
12360,51,3,2662.06,3,3,5,11,💼 Loyal Customers
12361,286,1,189.9,1,1,1,3,⚠️ At Risk / Lost
12362,2,10,5226.23,5,5,5,15,💎 Champions
12363,109,2,552.0,2,2,3,7,🌱 Regular Buyers
12364,7,4,1313.1,5,4,4,13,💎 Champions
12365,290,2,641.38,1,2,3,6,🌱 Regular Buyers
12367,3,1,168.9,5,1,1,7,🌱 Regular Buyers
12370,50,4,3541.94,3,4,5,12,💎 Champions
12371,44,2,1887.96,3,2,4,9,💼 Loyal Customers
12372,71,3,1298.04,3,3,4,10,💼 Loyal Customers
12373,310,1,364.6,1,1,2,4,⚠️ At Risk / Lost
12374,24,1,742.93,4,1,3,8,🌱 Regular Buyers
12375,10,2,457.5,5,2,2,9,💼 Loyal Customers
12377,314,2,1628.12,1,2,4,7,🌱 Regular Buyers
12378,129,1,4008.62,2,1,5,8,🌱 Regular Buyers
12379,81,2,852.24,2,2,3,7,🌱 Regular Buyers
12380,21,4,2724.81,4,4,5,13,💎 Champions
12381,4,5,1845.31,5,4,4,13,💎 Champions
12383,184,5,1850.56,1,4,4,9,💼 Loyal Customers
12384,28,2,585.27,4,2,3,9,💼 Loyal Customers
12386,337,2,401.9,1,2,2,5,⚠️ At Risk / Lost
12388,15,6,2780.66,4,4,5,13,💎 Champions
12390,79,1,549.84,2,1,3,6,🌱 Regular Buyers
12391,21,1,439.65999999999997,4,1,2,7,🌱 Regular Buyers
12393,71,4,1582.6,3,4,4,11,💼 Loyal Customers
12394,63,2,1272.48,3,2,4,9,💼 Loyal Customers
12395,18,12,3018.63,4,5,5,14,💎 Champions
12397,35,2,2409.9,3,2,5,10,💼 Loyal Customers
12398,45,1,1635.6599999999999,3,1,4,8,🌱 Regular Buyers
12399,118,4,1108.65,2,4,4,10,💼 Loyal Customers
12401,302,1,84.3,1,1,1,3,⚠️ At Risk / Lost
12402,322,1,225.6,1,1,1,3,⚠️ At Risk / Lost
12403,49,1,427.70000000000005,3,1,2,6,🌱 Regular Buyers
12405,148,1,1710.3899999999999,2,1,4,7,🌱 Regular Buyers
12406,21,2,3415.2999999999997,4,2,5,11,💼 Loyal Customers
12407,49,5,1708.12,3,4,4,11,💼 Loyal Customers
12408,32,5,2888.55,4,4,5,13,💎 Champions
12409,78,3,11072.67,2,3,5,10,💼 Loyal Customers
12410,308,2,693.3299999999999,1,2,3,6,🌱 Regular Buyers
12412,74,3,1226.8799999999999,2,3,4,9,💼 Loyal Customers
12413,66,3,758.1,3,3,3,9,💼 Loyal Customers
12414,216,3,562.41,1,3,3,7,🌱 Regular Buyers
12415,23,21,124914.53,4,5,5,14,💎 Champions
12417,2,9,3649.1,5,5,5,15,💎 Champions
12418,112,1,668.58,2,1,3,6,🌱 Regular Buyers
12420,63,1,600.39,3,1,3,7,🌱 Regular Buyers
12421,15,4,807.04,4,4,3,11,💼 Loyal Customers
12422,95,3,803.56,2,3,3,8,🌱 Regular Buyers
12423,0,8,1859.31,5,5,4,14,💎 Champions
12424,162,2,1760.96,2,2,4,8,🌱 Regular Buyers
12425,77,1,777.2,2,1,3,6,🌱 Regular Buyers
12426,194,1,582.73,1,1,3,5,⚠️ At Risk / Lost
12427,21,3,825.8,4,3,3,10,💼 Loyal Customers
12428,25,9,7956.46,4,5,5,14,💎 Champions
12429,8,4,3750.4,5,4,5,14,💎 Champions
12430,42,1,256.4,3,1,2,6,🌱 Regular Buyers
12431,35,15,6419.95,3,5,5,13,💎 Champions
12432,42,5,5059.32,3,4,5,12,💎 Champions
12433,0,7,13375.87,5,5,5,15,💎 Champions
12434,84,2,806.14,2,2,3,7,🌱 Regular Buyers
12435,79,2,7829.889999999999,2,2,5,9,💼 Loyal Customers
12436,99,1,509.01,2,1,3,6,🌱 Regular Buyers
12437,1,18,4951.41,5,5,5,15,💎 Champions
12438,13,2,2906.85,4,2,5,11,💼 Loyal Customers
12441,366,1,173.55,1,1,1,3,⚠️ At Risk / Lost
12442,2,1,172.06,5,1,1,7,🌱 Regular Buyers
12444,20,5,5005.46,4,4,5,13,💎 Champions
12445,21,1,133.4,4,1,1,6,🌱 Regular Buyers
12446,57,1,1002.31,3,1,4,8,🌱 Regular Buyers
12447,242,1,476.49,1,1,2,4,⚠️ At Risk / Lost
12448,43,1,449.45,3,1,2,6,🌱 Regular Buyers
12449,21,4,4067.29,4,4,5,13,💎 Champions
12450,155,2,197.88,2,2,1,5,⚠️ At Risk / Lost
12451,10,5,9035.52,5,4,5,14,💎 Champions
12452,16,2,430.57,4,2,2,8,🌱 Regular Buyers
12453,133,1,707.09,2,1,3,6,🌱 Regular Buyers
12454,55,1,3528.34,3,1,5,9,💼 Loyal Customers
12455,72,6,2466.86,2,4,5,11,💼 Loyal Customers
12456,43,3,3181.04,3,3,5,11,💼 Loyal Customers
12457,65,7,2363.23,3,5,5,13,💎 Champions
